Source,Record,Group,Matrix,Nanomaterial,Dose,Units,Organism,Endpoint,Response,Direction
CEINT,190,36,Dispersive,NanoSilver,10,mg/L,Lolium multiflorum,Seed Germination,0.067568,Less
CEINT,191,36,Dispersive,NanoSilver,40,mg/L,Lolium multiflorum,Seed Germination,0.094595,Less
CEINT,192,37,Dispersive,NanoSilver,0,mg/L,Panicum virgatum,Seed Germination,0,Less
CEINT,193,37,Dispersive,NanoSilver,1,mg/L,Panicum virgatum,Seed Germination,0.242424,Less
CEINT,194,37,Dispersive,NanoSilver,10,mg/L,Panicum virgatum,Seed Germination,0.181818,Less
CEINT,195,37,Dispersive,NanoSilver,40,mg/L,Panicum virgatum,Seed Germination,0.242424,Less
CEINT,196,38,Dispersive,NanoSilver,0,mg/L,Eupatorium fistulosum,Seed Germination,0,Less
CEINT,197,38,Dispersive,NanoSilver,1,mg/L,Eupatorium fistulosum,Seed Germination,0.269231,Less
CEINT,198,38,Dispersive,NanoSilver,10,mg/L,Eupatorium fistulosum,Seed Germination,0.230769,Less
CEINT,199,38,Dispersive,NanoSilver,40,mg/L,Eupatorium fistulosum,Seed Germination,0.230769,Less
CEINT,200,39,Dispersive,NanoSilver,0,mg/L,Lobelia cardinalis,Seed Germination,0,Less
CEINT,201,39,Dispersive,NanoSilver,1,mg/L,Lobelia cardinalis,Seed Germination,0,Less
CEINT,202,39,Dispersive,NanoSilver,10,mg/L,Lobelia cardinalis,Seed Germination,0.125,Less
CEINT,203,39,Dispersive,NanoSilver,40,mg/L,Lobelia cardinalis,Seed Germination,0.25,Less
CEINT,204,40,Dispersive,NanoSilver,0,mg/L,Phytolacca americana,Seed Germination,0,Less
CEINT,205,40,Dispersive,NanoSilver,1,mg/L,Phytolacca americana,Seed Germination,0.116667,Less
CEINT,206,40,Dispersive,NanoSilver,10,mg/L,Phytolacca americana,Seed Germination,0.15,Less
CEINT,207,40,Dispersive,NanoSilver,40,mg/L,Phytolacca americana,Seed Germination,0.016667,Less
CEINT,208,41,Dispersive,NanoSilver,0,mg/L,Carex lurida,Seed Germination,0,Less
CEINT,209,41,Dispersive,NanoSilver,1,mg/L,Carex lurida,Seed Germination,0.078431,Less
CEINT,210,41,Dispersive,NanoSilver,10,mg/L,Carex lurida,Seed Germination,0.196078,Less
CEINT,211,41,Dispersive,NanoSilver,40,mg/L,Carex lurida,Seed Germination,0.039216,Less
CEINT,212,42,Dispersive,NanoSilver,0,mg/L,Carex crinita,Seed Germination,0,Less
CEINT,213,42,Dispersive,NanoSilver,1,mg/L,Carex crinita,Seed Germination,0.040816,Less
CEINT,214,42,Dispersive,NanoSilver,10,mg/L,Carex crinita,Seed Germination,0.081633,Less
CEINT,215,42,Dispersive,NanoSilver,40,mg/L,Carex crinita,Seed Germination,0.163265,Less
CEINT,216,43,Dispersive,NanoSilver,0,mg/L,Carex scoparia,Seed Germination,0,Less
CEINT,217,43,Dispersive,NanoSilver,1,mg/L,Carex scoparia,Seed Germination,0.069444,Less
CEINT,218,43,Dispersive,NanoSilver,10,mg/L,Carex scoparia,Seed Germination,0.055556,Less
CEINT,219,43,Dispersive,NanoSilver,40,mg/L,Carex scoparia,Seed Germination,0.097222,Less
CEINT,220,44,Dispersive,NanoSilver,0,mg/L,Carex vulpinoidea,Seed Germination,0,Less
CEINT,221,44,Dispersive,NanoSilver,1,mg/L,Carex vulpinoidea,Seed Germination,0.258621,Less
CEINT,222,44,Dispersive,NanoSilver,10,mg/L,Carex vulpinoidea,Seed Germination,0.103448,Less
CEINT,223,44,Dispersive,NanoSilver,40,mg/L,Carex vulpinoidea,Seed Germination,0.293103,Less
CEINT,224,45,Dispersive,NanoSilver,0,mg/L,Scirpus syperinus,Seed Germination,0,Less
CEINT,225,45,Dispersive,NanoSilver,1,mg/L,Scirpus syperinus,Seed Germination,0.307692,Less
CEINT,226,45,Dispersive,NanoSilver,10,mg/L,Scirpus syperinus,Seed Germination,0.061538,Less
CEINT,227,45,Dispersive,NanoSilver,40,mg/L,Scirpus syperinus,Seed Germination,0.707692,Less
CEINT,228,46,Dispersive,NanoSilver,0,mg/L,Juncus effusus,Seed Germination,0,Less
CEINT,229,46,Dispersive,NanoSilver,1,mg/L,Juncus effusus,Seed Germination,0.272727,Less
CEINT,230,46,Dispersive,NanoSilver,10,mg/L,Juncus effusus,Seed Germination,0.590909,Less
CEINT,231,46,Dispersive,NanoSilver,40,mg/L,Juncus effusus,Seed Germination,0.818182,Less
CEINT,232,47,Dispersive,NanoSilver,0,mg/L,Lolium multiflorum,Seed Germination,0,Less
CEINT,233,47,Dispersive,NanoSilver,1,mg/L,Lolium multiflorum,Seed Germination,0.081081,Less
CEINT,234,47,Dispersive,NanoSilver,10,mg/L,Lolium multiflorum,Seed Germination,0.148649,Less
CEINT,235,47,Dispersive,NanoSilver,40,mg/L,Lolium multiflorum,Seed Germination,0.175676,Less
CEINT,236,48,Dispersive,NanoSilver,0,mg/L,Panicum virgatum,Seed Germination,0,Less
CEINT,237,48,Dispersive,NanoSilver,1,mg/L,Panicum virgatum,Seed Germination,0.212121,Less
CEINT,238,48,Dispersive,NanoSilver,10,mg/L,Panicum virgatum,Seed Germination,0,Less
CEINT,239,48,Dispersive,NanoSilver,40,mg/L,Panicum virgatum,Seed Germination,0.060606,Less
CEINT,240,49,Dispersive,NanoSilver,0,mg/L,Eupatorium fistulosum,Seed Germination,0,Less
CEINT,241,49,Dispersive,NanoSilver,1,mg/L,Eupatorium fistulosum,Seed Germination,0.288462,Less
CEINT,242,49,Dispersive,NanoSilver,10,mg/L,Eupatorium fistulosum,Seed Germination,0.576923,Less
CEINT,243,49,Dispersive,NanoSilver,40,mg/L,Eupatorium fistulosum,Seed Germination,0.519231,Less
CEINT,244,50,Dispersive,NanoSilver,0,mg/L,Lobelia cardinalis,Seed Germination,0,Less
CEINT,245,50,Dispersive,NanoSilver,1,mg/L,Lobelia cardinalis,Seed Germination,0.375,Less
CEINT,246,50,Dispersive,NanoSilver,10,mg/L,Lobelia cardinalis,Seed Germination,0,Less
